Date,Attendance,Team,City,League,Both Leagues
4/29/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
5/8/2022,17510,Angel City FC,Los Angeles,NWSL,Yes
5/21/2022,18514,Angel City FC,Los Angeles,NWSL,Yes
5/29/2022,18784,Angel City FC,Los Angeles,NWSL,Yes
6/7/2022,16739,Angel City FC,Los Angeles,NWSL,Yes
7/1/2022,17492,Angel City FC,Los Angeles,NWSL,Yes
7/9/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
7/30/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
8/14/2022,17002,Angel City FC,Los Angeles,NWSL,Yes
9/21/2022,16112,Angel City FC,Los Angeles,NWSL,Yes
9/25/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
3/17/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
3/26/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
4/15/2023,18007,Angel City FC,Los Angeles,NWSL,Yes
4/21/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
4/23/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
4/26/2023,19178,Angel City FC,Los Angeles,NWSL,Yes
5/7/2023,19219,Angel City FC,Los Angeles,NWSL,Yes
5/12/2023,18037,Angel City FC,Los Angeles,NWSL,Yes
5/13/2023,17427,Angel City FC,Los Angeles,NWSL,Yes
5/23/2023,19103,Angel City FC,Los Angeles,NWSL,Yes
6/5/2023,16682,Angel City FC,Los Angeles,NWSL,Yes
6/19/2023,16735,Angel City FC,Los Angeles,NWSL,Yes
6/25/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
6/30/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
7/9/2023,17876,Angel City FC,Los Angeles,NWSL,Yes
8/27/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
10/2/2023,18102,Angel City FC,Los Angeles,NWSL,Yes
10/15/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
3/17/2024,22000,Angel City FC,Los Angeles,NWSL,Yes
4/21/2024,22000,Angel City FC,Los Angeles,NWSL,Yes
4/26/2024,19178,Angel City FC,Los Angeles,NWSL,Yes
5/12/2024,18037,Angel City FC,Los Angeles,NWSL,Yes
5/23/2024,19103,Angel City FC,Los Angeles,NWSL,Yes
6/19/2024,16735,Angel City FC,Los Angeles,NWSL,Yes
6/30/2024,22000,Angel City FC,Los Angeles,NWSL,Yes
3/5/2017,55297,Atlanta United FC,Atlanta,MLS,
3/18/2017,45922,Atlanta United FC,Atlanta,MLS,
4/30/2017,46011,Atlanta United FC,Atlanta,MLS,
5/20/2017,44893,Atlanta United FC,Atlanta,MLS,
5/28/2017,44901,Atlanta United FC,Atlanta,MLS,
6/17/2017,44922,Atlanta United FC,Atlanta,MLS,
6/24/2017,44938,Atlanta United FC,Atlanta,MLS,
7/4/2017,44974,Atlanta United FC,Atlanta,MLS,
7/29/2017,45006,Atlanta United FC,Atlanta,MLS,
9/10/2017,45314,Atlanta United FC,Atlanta,MLS,
9/13/2017,42511,Atlanta United FC,Atlanta,MLS,
9/16/2017,70425,Atlanta United FC,Atlanta,MLS,
9/20/2017,42723,Atlanta United FC,Atlanta,MLS,
9/24/2017,43502,Atlanta United FC,Atlanta,MLS,
9/27/2017,43006,Atlanta United FC,Atlanta,MLS,
10/3/2017,43185,Atlanta United FC,Atlanta,MLS,
10/22/2017,71874,Atlanta United FC,Atlanta,MLS,
3/11/2018,72035,Atlanta United FC,Atlanta,MLS,
3/17/2018,45003,Atlanta United FC,Atlanta,MLS,
4/7/2018,45207,Atlanta United FC,Atlanta,MLS,
4/15/2018,45001,Atlanta United FC,Atlanta,MLS,
4/28/2018,45039,Atlanta United FC,Atlanta,MLS,
5/9/2018,44696,Atlanta United FC,Atlanta,MLS,
5/20/2018,45089,Atlanta United FC,Atlanta,MLS,
6/2/2018,45140,Atlanta United FC,Atlanta,MLS,
6/24/2018,45116,Atlanta United FC,Atlanta,MLS,
6/30/2018,71932,Atlanta United FC,Atlanta,MLS,
7/15/2018,72243,Atlanta United FC,Atlanta,MLS,
7/21/2018,45087,Atlanta United FC,Atlanta,MLS,
8/4/2018,45191,Atlanta United FC,Atlanta,MLS,
8/19/2018,45303,Atlanta United FC,Atlanta,MLS,
9/22/2018,72017,Atlanta United FC,Atlanta,MLS,
10/6/2018,45122,Atlanta United FC,Atlanta,MLS,
10/21/2018,71812,Atlanta United FC,Atlanta,MLS,
3/10/2019,70382,Atlanta United FC,Atlanta,MLS,
3/17/2019,42651,Atlanta United FC,Atlanta,MLS,
4/20/2019,43351,Atlanta United FC,Atlanta,MLS,
4/27/2019,43005,Atlanta United FC,Atlanta,MLS,
5/8/2019,42537,Atlanta United FC,Atlanta,MLS,
5/12/2019,68152,Atlanta United FC,Atlanta,MLS,
5/29/2019,42703,Atlanta United FC,Atlanta,MLS,
6/1/2019,67502,Atlanta United FC,Atlanta,MLS,
6/29/2019,44627,Atlanta United FC,Atlanta,MLS,
7/7/2019,68077,Atlanta United FC,Atlanta,MLS,
7/17/2019,42557,Atlanta United FC,Atlanta,MLS,
7/21/2019,44405,Atlanta United FC,Atlanta,MLS,
8/3/2019,72548,Atlanta United FC,Atlanta,MLS,
8/11/2019,44052,Atlanta United FC,Atlanta,MLS,
9/14/2019,68046,Atlanta United FC,Atlanta,MLS,
9/21/2019,43451,Atlanta United FC,Atlanta,MLS,
10/6/2019,44617,Atlanta United FC,Atlanta,MLS,
2/27/2022,"67,523",Atlanta United FC,Atlanta,MLS,
3/13/2022,"43,055",Atlanta United FC,Atlanta,MLS,
3/19/2022,"42,578",Atlanta United FC,Atlanta,MLS,
4/16/2022,"42,948",Atlanta United FC,Atlanta,MLS,
4/30/2022,"42,547",Atlanta United FC,Atlanta,MLS,
5/7/2022,"42,516",Atlanta United FC,Atlanta,MLS,
6/19/2022,"42,539",Atlanta United FC,Atlanta,MLS,
7/17/2022,"42,526",Atlanta United FC,Atlanta,MLS,
7/30/2022,"42,561",Atlanta United FC,Atlanta,MLS,
8/17/2022,"42,555",Atlanta United FC,Atlanta,MLS,
9/10/2022,"42,670",Atlanta United FC,Atlanta,MLS,
9/17/2022,"42,521",Atlanta United FC,Atlanta,MLS,
10/9/2022,"43,312",Atlanta United FC,Atlanta,MLS,
2/25/2023,"67,538",Atlanta United FC,Atlanta,MLS,
3/4/2023,"42,817",Atlanta United FC,Atlanta,MLS,
3/18/2023,"42,648",Atlanta United FC,Atlanta,MLS,
4/1/2023,"43,511",Atlanta United FC,Atlanta,MLS,
4/23/2023,"43,335",Atlanta United FC,Atlanta,MLS,
5/13/2023,"43,427",Atlanta United FC,Atlanta,MLS,
5/17/2023,"42,587",Atlanta United FC,Atlanta,MLS,
5/31/2023,"42,915",Atlanta United FC,Atlanta,MLS,
6/10/2023,"42,539",Atlanta United FC,Atlanta,MLS,
6/21/2023,"42,557",Atlanta United FC,Atlanta,MLS,
7/2/2023,"43,527",Atlanta United FC,Atlanta,MLS,
7/15/2023,"43,576",Atlanta United FC,Atlanta,MLS,
8/26/2023,"67,514",Atlanta United FC,Atlanta,MLS,
8/30/2023,"42,568",Atlanta United FC,Atlanta,MLS,
9/16/2023,"71,635",Atlanta United FC,Atlanta,MLS,
9/23/2023,"42,569",Atlanta United FC,Atlanta,MLS,
10/7/2023,"42,684",Atlanta United FC,Atlanta,MLS,
3/9/2024,"67,727",Atlanta United FC,Atlanta,MLS,
3/17/2024,"42,631",Atlanta United FC,Atlanta,MLS,
3/31/2024,"42,525",Atlanta United FC,Atlanta,MLS,
4/14/2024,"42,763",Atlanta United FC,Atlanta,MLS,
4/20/2024,"42,600",Atlanta United FC,Atlanta,MLS,
5/4/2024,"43,338",Atlanta United FC,Atlanta,MLS,
5/11/2024,"42,822",Atlanta United FC,Atlanta,MLS,
5/25/2024,"43,128",Atlanta United FC,Atlanta,MLS,
6/2/2024,"61,209",Atlanta United FC,Atlanta,MLS,
6/15/2024,"42,630",Atlanta United FC,Atlanta,MLS,
6/29/2024,"42,568",Atlanta United FC,Atlanta,MLS,
2/25/2023,"20,738",Austin FC,Austin,MLS,
3/4/2023,"20,738",Austin FC,Austin,MLS,
3/25/2023,"20,738",Austin FC,Austin,MLS,
4/15/2023,"20,738",Austin FC,Austin,MLS,
4/29/2023,"20,738",Austin FC,Austin,MLS,
5/13/2023,"20,738",Austin FC,Austin,MLS,
5/20/2023,"20,738",Austin FC,Austin,MLS,
5/31/2023,"20,738",Austin FC,Austin,MLS,
6/3/2023,"20,738",Austin FC,Austin,MLS,
6/21/2023,"20,738",Austin FC,Austin,MLS,
6/24/2023,"20,738",Austin FC,Austin,MLS,
7/15/2023,"20,738",Austin FC,Austin,MLS,
9/17/2023,"20,738",Austin FC,Austin,MLS,
9/24/2023,"20,738",Austin FC,Austin,MLS,
10/4/2023,"20,738",Austin FC,Austin,MLS,
10/7/2023,"20,738",Austin FC,Austin,MLS,
2/24/2024,"20,738",Austin FC,Austin,MLS,
3/9/2024,"20,738",Austin FC,Austin,MLS,
3/16/2024,"20,738",Austin FC,Austin,MLS,
3/30/2024,"20,738",Austin FC,Austin,MLS,
4/6/2024,"20,738",Austin FC,Austin,MLS,
4/27/2024,"20,738",Austin FC,Austin,MLS,
5/15/2024,"20,738",Austin FC,Austin,MLS,
5/18/2024,"20,738",Austin FC,Austin,MLS,
5/29/2024,"20,738",Austin FC,Austin,MLS,
6/19/2024,"20,738",Austin FC,Austin,MLS,
3/17/2024,22000,Bay FC,San Jose,NWSL,
3/30/2024,18000,Bay FC,San Jose,NWSL,
4/14/2024,16719,Bay FC,San Jose,NWSL,
5/1/2024,10611,Bay FC,San Jose,NWSL,
5/5/2024,14317,Bay FC,San Jose,NWSL,
5/17/2024,16930,Bay FC,San Jose,NWSL,
5/24/2024,12643,Bay FC,San Jose,NWSL,
6/16/2024,10367,Bay FC,San Jose,NWSL,
6/22/2024,15640,Bay FC,San Jose,NWSL,
3/16/2013,37896,CF Montreal,Montreal,MLS,
3/23/2013,26259,CF Montreal,Montreal,MLS,
4/14/2013,16584,CF Montreal,Montreal,MLS,
4/27/2013,19773,CF Montreal,Montreal,MLS,
5/11/2013,14578,CF Montreal,Montreal,MLS,
5/25/2013,17104,CF Montreal,Montreal,MLS,
6/19/2013,17694,CF Montreal,Montreal,MLS,
6/29/2013,20383,CF Montreal,Montreal,MLS,
7/7/2013,18932,CF Montreal,Montreal,MLS,
7/20/2013,20801,CF Montreal,Montreal,MLS,
7/27/2013,20527,CF Montreal,Montreal,MLS,
8/17/2013,20801,CF Montreal,Montreal,MLS,
8/24/2013,20801,CF Montreal,Montreal,MLS,
9/14/2013,20210,CF Montreal,Montreal,MLS,
9/21/2013,20006,CF Montreal,Montreal,MLS,
